iter	Passed	Remaining
0	144	144402
1	146	73169
2	148	49331
3	150	37350
4	151	30136
5	152	25329
6	154	21899
7	156	19420
8	158	17439
9	159	15822
10	161	14557
11	163	13455
12	164	12512
13	166	11694
14	167	11026
15	170	10471
16	171	9934
17	173	9475
18	175	9048
19	176	8658
20	178	8313
21	179	7993
22	181	7694
23	182	7416
24	183	7169
25	185	6936
26	186	6727
27	188	6529
28	189	6347
29	191	6181
30	192	6017
31	193	5864
32	195	5725
33	197	5606
34	198	5482
35	200	5365
36	201	5252
37	202	5138
38	204	5034
39	205	4939
40	207	4847
41	208	4755
42	209	4664
43	210	4580
44	211	4498
45	213	4422
46	214	4349
47	215	4279
48	216	4209
49	218	4144
50	219	4084
51	221	4041
52	223	4000
53	225	3946
54	226	3891
55	228	3848
56	229	3800
57	231	3752
58	232	3705
59	233	3656
60	234	3609
61	235	3565
62	236	3524
63	238	3481
64	239	3439
65	240	3399
66	241	3360
67	241	3315
68	243	3278
69	244	3242
70	245	3207
71	246	3173
72	247	3139
73	248	3107
74	249	3076
75	250	3048
76	252	3021
77	253	2995
78	254	2967
79	256	2944
80	257	2921
81	258	2896
82	259	2870
83	260	2845
84	261	2816
85	262	2791
86	263	2763
87	264	2740
88	265	2717
89	266	2697
90	267	2676
91	268	2654
92	270	2633
93	271	2613
94	272	2594
95	273	2574
96	274	2554
97	275	2535
98	276	2516
99	277	2498
100	278	2481
101	279	2460
102	280	2442
103	281	2426
104	282	2409
105	283	2393
106	284	2377
107	285	2361
108	286	2345
109	288	2330
110	289	2315
111	290	2300
112	291	2285
113	292	2271
114	293	2258
115	294	2243
116	295	2229
117	296	2216
118	297	2201
119	298	2188
120	299	2176
121	300	2163
122	301	2147
123	302	2135
124	303	2123
125	304	2111
126	305	2099
127	306	2085
128	307	2074
129	308	2063
130	309	2052
131	310	2041
132	311	2030
133	312	2019
134	313	2008
135	314	1999
136	316	1993
137	317	1982
138	318	1972
139	319	1963
140	320	1954
141	321	1945
142	323	1935
143	324	1926
144	325	1918
145	326	1910
146	327	1902
147	328	1893
148	330	1884
149	331	1876
150	332	1867
151	333	1858
152	334	1850
153	335	1842
154	336	1834
155	337	1826
156	338	1818
157	339	1810
158	340	1802
159	341	1794
160	342	1786
161	343	1778
162	344	1771
163	346	1764
164	347	1756
165	348	1749
166	349	1742
167	350	1735
168	351	1728
169	352	1721
170	353	1714
171	354	1707
172	355	1700
173	356	1694
174	357	1687
175	359	1681
176	360	1674
177	361	1667
178	362	1662
179	363	1655
180	364	1648
181	365	1641
182	366	1635
183	367	1629
184	368	1623
185	369	1617
186	370	1610
187	371	1604
188	372	1598
189	373	1592
190	374	1587
191	375	1581
192	376	1575
193	377	1569
194	378	1563
195	379	1558
196	380	1552
197	381	1547
198	382	1541
199	383	1535
200	385	1530
201	386	1525
202	387	1520
203	388	1515
204	389	1509
205	390	1504
206	391	1499
207	392	1494
208	393	1489
209	394	1484
210	395	1479
211	396	1474
212	397	1469
213	398	1464
214	400	1460
215	401	1456
216	402	1451
217	403	1446
218	404	1441
219	405	1437
220	406	1433
221	407	1428
222	408	1423
223	409	1419
224	410	1414
225	411	1409
226	412	1405
227	413	1401
228	415	1397
229	416	1393
230	417	1389
231	418	1385
232	419	1381
233	420	1376
234	421	1372
235	422	1368
236	423	1363
237	424	1359
238	425	1355
239	426	1351
240	427	1347
241	428	1343
242	429	1339
243	430	1335
244	432	1331
245	433	1327
246	434	1323
247	435	1319
248	436	1315
249	437	1311
250	438	1307
251	439	1303
252	440	1300
253	441	1296
254	442	1294
255	444	1290
256	445	1287
257	446	1283
258	447	1280
259	448	1277
260	449	1273
261	451	1270
262	452	1267
263	453	1263
264	454	1260
265	455	1257
266	456	1254
267	457	1250
268	458	1247
269	460	1243
270	461	1240
271	462	1237
272	463	1233
273	464	1230
274	465	1227
275	466	1223
276	467	1220
277	468	1217
278	469	1214
279	471	1211
280	472	1207
281	473	1204
282	474	1201
283	475	1198
284	476	1195
285	477	1191
286	478	1188
287	479	1185
288	480	1182
289	481	1179
290	482	1175
291	483	1172
292	484	1169
293	486	1167
294	487	1164
295	488	1161
296	489	1158
297	490	1155
298	491	1152
299	492	1149
300	493	1146
301	494	1143
302	495	1140
303	496	1137
304	497	1134
305	498	1131
306	500	1128
307	501	1125
308	502	1123
309	503	1120
310	504	1117
311	505	1114
312	506	1111
313	507	1109
314	508	1106
315	509	1103
316	510	1100
317	511	1097
318	512	1094
319	514	1092
320	515	1089
321	516	1086
322	517	1084
323	518	1081
324	519	1078
325	520	1076
326	521	1073
327	522	1070
328	523	1068
329	524	1065
330	525	1062
331	526	1060
332	527	1057
333	529	1054
334	530	1052
335	531	1049
336	532	1047
337	533	1044
338	534	1042
339	535	1039
340	536	1036
341	537	1034
342	538	1031
343	539	1029
344	540	1026
345	541	1024
346	542	1021
347	544	1020
348	545	1017
349	546	1014
350	547	1012
351	548	1009
352	549	1007
353	550	1004
354	551	1002
355	552	999
356	553	997
357	554	994
358	556	992
359	557	991
360	558	988
361	559	986
362	560	983
363	561	981
364	562	979
365	563	976
366	564	974
367	566	972
368	567	969
369	568	967
370	569	965
371	570	962
372	571	960
373	572	958
374	574	956
375	575	954
376	576	952
377	577	950
378	578	947
379	579	945
380	580	943
381	581	941
382	582	939
383	584	936
384	585	934
385	586	932
386	587	931
387	588	928
388	590	926
389	591	924
390	592	922
391	593	920
392	594	918
393	595	916
394	596	914
395	597	911
396	599	909
397	600	908
398	601	905
399	602	903
400	603	901
401	604	899
402	605	897
403	606	895
404	608	893
405	609	891
406	610	888
407	611	886
408	612	884
409	613	882
410	614	880
411	615	878
412	616	876
413	617	874
414	618	872
415	619	870
416	620	868
417	622	866
418	623	864
419	624	862
420	625	860
421	626	857
422	627	855
423	628	853
424	629	851
425	630	849
426	631	847
427	632	845
428	633	843
429	634	841
430	635	839
431	637	837
432	638	835
433	639	833
434	640	831
435	641	829
436	642	827
437	643	825
438	644	823
439	645	821
440	646	819
441	647	817
442	648	815
443	649	813
444	650	811
445	651	809
446	652	807
447	653	805
448	654	803
449	656	801
450	657	799
451	658	798
452	659	796
453	660	794
454	661	792
455	662	790
456	663	788
457	664	786
458	665	784
459	666	782
460	667	780
461	668	778
462	669	776
463	670	775
464	672	773
465	673	771
466	674	769
467	675	767
468	676	765
469	677	763
470	678	761
471	679	760
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	747
479	687	745
480	688	743
481	689	741
482	691	739
483	692	737
484	693	736
485	694	734
486	695	732
487	696	730
488	697	728
489	698	726
490	699	725
491	700	723
492	701	721
493	702	719
494	703	717
495	704	716
496	705	714
497	706	712
498	707	710
499	708	708
500	709	707
501	710	705
502	712	703
503	713	701
504	714	700
505	715	698
506	716	696
507	717	694
508	718	692
509	719	691
510	720	689
511	721	687
512	722	686
513	723	684
514	724	682
515	725	680
516	726	679
517	727	677
518	728	675
519	729	673
520	731	672
521	732	670
522	733	668
523	734	666
524	735	665
525	736	663
526	737	661
527	738	660
528	739	658
529	740	656
530	741	655
531	742	653
532	743	651
533	744	649
534	745	648
535	746	646
536	747	644
537	748	643
538	750	641
539	751	640
540	752	638
541	753	637
542	755	635
543	756	634
544	757	632
545	759	631
546	760	629
547	761	627
548	762	626
549	763	624
550	764	622
551	765	621
552	766	619
553	767	617
554	768	616
555	769	614
556	770	612
557	771	611
558	772	609
559	773	607
560	774	606
561	775	604
562	776	602
563	777	601
564	779	599
565	780	598
566	781	596
567	782	594
568	783	593
569	784	591
570	785	590
571	786	588
